Código CCN,Código CNH,Nombre,Comunidad Autónoma,Provincia,Municipio,Dirección,Código Postal,Teléfono,Número de camas instaladas,Tipo de Centro,Dependencia Funcional,Observaciones,Concierto,Acreditación Docente
0908005142,080399,Hospital Quironsalud Barcelona,Cataluña,Barcelona,Barcelona,Plaza Alfons Comín 5,08023,932850000,192,Hospitales Generales,Privados,,Sin concierto,NO
0908005143,080403,HM Nou Delfos,Cataluña,Barcelona,Barcelona,Avenida Vallcarca 151,08023,932545183,264,Hospitales Generales,Privados,,Sin concierto,NO
0908005144,080180,Hospital El Pilar,Cataluña,Barcelona,Barcelona,Calle Balmes 271,08006,932360500,186,Hospitales Generales,Privados,,Sin concierto,SI
0908005145,080497,Centre Hospitalari Policlínica Barcelona,Cataluña,Barcelona,Barcelona,Calle Guillem Tell 4,08006,934161616,28,Hospitales Generales,Privados,,Sin concierto,SI
0908005146,080556,"Serveis Clinics, S.A.",Cataluña,Barcelona,Barcelona,Calle Garcia Mariño 4,08022,934174602,50,Hospitales de media y larga estancia,Privados,,Red de utilización pública (RUP),NO
0908005147,080575,Clínica Coroleu - Ssr Hestia.,Cataluña,Barcelona,Barcelona,Calle Coroleu 50,08030,931165500,74,Hospitales de salud mental y tratamiento de toxicomanías,Privados,,Red de utilización pública (RUP),NO
0908005149,082167,Clínica Diagonal,Cataluña,Barcelona,Esplugues de Llobregat,Calle Sant Mateu 24-26,08950,932053213,101,Hospitales Generales,Privados,,Sin concierto,SI
0908005150,080057,Hospital del Mar,Cataluña,Barcelona,Barcelona,Paseo Maritim de La Barceloneta 25-29,08003,932483000,470,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005151,080431,"Hospital Clinic de Barcelona, Seu Plato",Cataluña,Barcelona,Barcelona,Calle Plato 21,08006,933069900,168,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Sin concierto,NO
0908005152,080446,Hospital Universitari Quirón Dexeus,Cataluña,Barcelona,Barcelona,Calle Sabino de Arana 5-19,08028,932274747,170,Hospitales Generales,Privados,,Sin concierto,SI
0908005153,080109,Hospital Clinic de Barcelona,Cataluña,Barcelona,Barcelona,Calle Villarroel 170,08036,932275400,844,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),SI
0908005154,080174,Hospital Dos de Maig,Cataluña,Barcelona,Barcelona,Calle Dos de Maig 301,08025,935072700,229,Hospitales Generales,Otras Entidades u o rganismos Públicos,,Red de utilización pública (RUP),NO
