nombre,localidad,provincia,capacidad,latitud,longitud
Hospital Victoria Eugenia de La Cruz Roja Española,Sevilla,Sevilla,39,37.4019944,-5.9816579
Clínica Santa Isabel,Sevilla,Sevilla,96,37.3868655,-5.9755266
Hospital La Merced,Osuna,Sevilla,225,37.2323824,-5.0957416
Hospital Universitario Virgen de Valme,Sevilla,Sevilla,617,37.3196659,-5.9712285
Hospital El Tomillar,Alcalá de Guadaíra,Sevilla,80,37.2982135,-5.9008502
Hospital Universitario Virgen Macarena,Sevilla,Sevilla,777,37.4067579,-5.98685
Hospital San Lázaro,Sevilla,Sevilla,66,37.4144896,-5.9821448
Hospital Universitario Virgen del Rocío,Sevilla,Sevilla,628,37.3629504,-5.9789302
Hospital de Rehabilitación y Traumatología del H.U. Virgen del Rocío,Sevilla,Sevilla,295,37.3692358,-5.9854798
Hospital Infantil,Sevilla,Sevilla,134,37.3626201,-5.977088
Hospital San Juan de Dios de Sevilla,Sevilla,Sevilla,289,37.3813881,-5.9691621
Clínica Nuestra Señora de Aránzazu,Sevilla,Sevilla,10,37.3969102,-5.9953361
Hospital de Alta Resolución de Morón de La Frontera,Morón de la Frontera,Sevilla,12,37.11749627564362,-5.4540660169413435
Hospital San Juan de Dios del Aljarafe,Bormujos,Sevilla,200,37.3733095,-6.083561
Residencia de Salud Mental Nuestra Señora del Carmen,Bormujos,Sevilla,54,37.37878762985092,-6.070277218782967
Ita Clinic Bcn,Sevilla,Sevilla,19,37.3892614,-5.9856082
Hospital Quironsalud Infanta Luisa,Sevilla,Sevilla,139,37.3847186,-6.003822
Hospital San Agustín,Dos Hermanas,Sevilla,93,37.2807132,-5.9359853
Hospital Vithas Sevilla,Castilleja de la Cuesta,Sevilla,148,37.3893314,-6.0615703
Hospital de Alta Resolución de Utrera,Utrera,Sevilla,14,37.1756949,-5.7852373
Hospital Viamed Santa Angela de La Cruz,Sevilla,Sevilla,105,37.3332136,-5.9690176
Hospital de Alta Resolución de Lebrija,Lebrija,Sevilla,22,36.9109946,-6.0717152
Hospital Psiquiátrico Penitenciario,Sevilla,Sevilla,184,37.39056530803106,-5.847515618782412
Clínica de Salud Mental Miguel de Mañara,Dos Hermanas,Sevilla,18,37.33478509987319,-5.9188808123814995
Hospital de La Mujer,Sevilla,Sevilla,221,37.3631192,-5.9782126
"Adinfa, Sociedad Cooperativa Andaluza",Coria del Río,Sevilla,25,37.2870216,-6.0564251
Hospital de Emergencia Covid 19,Sevilla,Sevilla,276,37.3479759,-5.9749801
