nombre,localidad,provincia,longitud,latitud
Cuartillos,Cuartillos,Cádiz,-6.018907499555136,36.67657687903884
Encinarejo,Encinarejo de Córdoba,Córdoba,-4.928197937344221,37.83205564726508
Nueva Carteya,Nueva Carteya,Córdoba,-4.468241830547644,37.583341559444
Setenil,Setenil,Cádiz,-5.176701951977938,36.86120261117565
Benadalid,Benadalid,Málaga,-5.269757270438992,36.60643161528745
Ardales,Ardales,Málaga,-4.846715989165429,36.88161423437702
San Roque Sur,San Roque,Cádiz,-5.394098167190386,36.209356207904264
Soportújar,Soportújar,Granada,-3.403499290232215,36.92790825072821
Villanueva del Arzobispo,Villanueva del Arzobispo,Jaén,-3.0084435345231353,38.1659317236435
Pozo de la Higuera,Pozo de la Higuera,Almería,-1.736881963001465,37.4416667144503
El Alquián,El Alquián,Almería,-2.3519998104928366,36.85124732088028
Bobadilla Pueblo,Bobadilla,Málaga,-4.6966978449791466,37.042630597544274
Barrio Jarana,Barrio de Jarana,Cádiz,-6.143207984932681,36.501636803355765
Lucena,Lucena,Córdoba,-4.4930942398482925,37.407059513334474
Quintería,La Quintería,Jaén,-3.950153670544988,38.01616259572447
Antequera,Antequera,Málaga,-4.564267119662655,37.0219298726426
Linares C San José,Linares,Jaén,-3.6282466980950443,38.09767589390359
Barriada de Andalucía (Guadix),Guadix,Granada,-3.1447299300684786,37.29821341681798
Atalaya,La Atalaya,Málaga,-5.083715436435534,36.93970394980119
Gines Dr. Juan Antonio González Caraballo,Gines,Sevilla,-6.0813939743670575,37.3848876131428
Realejo,Granada,Granada,-3.591226764814841,37.173279847122096
San Pablo de Buceite,San Pablo de Buceite,Cádiz,-5.412548426528985,36.46733924273921
Guazamara,Guazamara,Almería,-1.7824299386173392,37.347852860345256
Priego de Córdoba,Priego de Córdoba,Córdoba,-4.201134279754097,37.43932831539204
Barrio Archilla-Cañada Sebastiana,Barrio de Archilla,Almería,-2.613398957928286,36.79492144098929
Viator,Viator,Almería,-2.4276282700318896,36.8895489401748
Estación Salinas,Estación de Salinas,Málaga,-4.303919358180841,37.124768575461104
El Porvenir de la Industria,Porvenir de la Industria,Córdoba,-5.331677357558852,38.31589272928403
La Línea Poniente,La Línea de la Concepción,Cádiz,-5.356934346506646,36.166156302826444
Jubrique,Jubrique,Málaga,-5.215603110601778,36.56435135478376
Palenciana,Palenciana,Córdoba,-4.584241011130678,37.248373542692754
La Serrana,Jerez de la Frontera,Cádiz,-6.149680970808826,36.69354729637002
Valencina de la Concepción Practicante José Salas,Valencina de la Concepción,Sevilla,-6.0774837591885875,37.416969711969976
El Rompido,El Rompido,Huelva,-7.12639079981083,37.21854697163471
Benitagla,Benitagla,Almería,-2.238795479871608,37.23103578699553
El Viso,El Viso,Almería,-2.2050964748407713,36.88022654566309
Turón,Turón,Granada,-3.058770999478242,36.86473799971362
Sorvilán,Sorvilán,Granada,-3.2646631753271036,36.79419180400268
Iznate,Iznate,Málaga,-4.184051997724619,36.775663505671794
Luque,Luque,Córdoba,-4.276583169011679,37.55922496862708
Sedella,Sedella,Málaga,-4.035076102795996,36.86298873804734
Los Morenos,Los Morenos,Córdoba,-5.357610871137334,38.14616421205507
Castril,Castril,Granada,-2.7801618691436003,37.79701547100383
El Priorato,El Priorato,Sevilla,-5.441305982660106,37.68978881170888
Agrupación de Mogón,Agrupación de Mogón,Jaén,-3.0723821825219724,38.0532495717804
Cancelada,Cancelada,Málaga,-5.0525501828098855,36.46158082262224
Huesa,Huesa,Jaén,-3.076589457015953,37.76389675229576
Melegis (El Valle),Melegís,Granada,-3.5711236439844787,36.93534622292006
San Enrique Guadiaro,San Enrique,Cádiz,-5.2919196536311,36.303277282571145
Delicias Jerez,Jerez de la Frontera,Cádiz,-6.114991247333131,36.684076774115994
Valdelagrana,Valdelagrana,Cádiz,-6.220786059248454,36.573042831617734
Sierro,Sierro,Almería,-2.3996207074365596,37.32060750748807
Mairena,Mairena,Granada,-3.043131820250911,37.003174180062445
Los Bermejales,Sevilla,Sevilla,-5.972214780208234,37.34549151977675
Gilena,Gilena,Sevilla,-4.913790450714974,37.2529752267282
Lucena II,Lucena,Córdoba,-4.475525397404864,37.41170113974034
Cañada Morales,Cañada Morales,Jaén,-2.756657039984616,38.211512218478845
Frigiliana,Frigiliana,Málaga,-3.894451855324761,36.78806149009649
Torredonjimeno,Torredonjimeno,Jaén,-3.954469243422048,37.76050476100866
Tíjola,Tíjola,Almería,-2.4388929996822597,37.34610200054262
Tharsis,Tharsis,Huelva,-7.122118956516034,37.60522202833732
Porche,El Porche,Jaén,-2.676107295160927,38.28818671225325
Baeza,Baeza,Jaén,-3.459893999515351,37.99591700014654
Villanueva de San Juan,Villanueva de San Juan,Sevilla,-5.173921857952339,37.05049584644303
Jimena de la Frontera,Jimena de la Frontera,Cádiz,-5.446203233890384,36.4312629281778
San Pedro de Alcántara,San Pedro Alcántara,Málaga,-4.996099066078124,36.486175532629666
Valderrubio,Valderrubio,Granada,-3.8193199989248594,37.23308544685459
Gójar,Gójar,Granada,-3.6060099706258923,37.105285847867364
Poblado Doña Blanca,Doña Blanca-Poblado,Cádiz,-6.166036549233425,36.61614193669423
Nechite,Nechite,Granada,-3.0714893354822648,37.00295269654112
Matalascañas,Torre de la Higuera o Matalascañas,Huelva,-6.564174848026442,37.007687077738574
Guaro,Guaro,Málaga,-4.8353691965051055,36.65752981572061
Villanueva de Tapia,Villanueva de Tapia,Málaga,-4.3354364972293356,37.18173821557434
Alcubillas,Las Alcubillas,Almería,-2.5818165597779363,37.09098978256854
El Palmar de Troya,El Palmar de Troya,Sevilla,-5.804712531852929,37.06239440047312
Ambroz,Ambroz,Granada,-3.661902679889538,37.165033685289146
Somontín,Somontín,Almería,-2.388449207646922,37.39143153624861
Alhaurín de la Torre. Don José Molina Díaz,Alhaurín de la Torre,Málaga,-4.559380629109826,36.66178038241209
Casabermeja,Casabermeja,Málaga,-4.429799363400199,36.893607098608015
La Granjuela,La Granjuela,Córdoba,-5.350747781685895,38.3712774303655
Las Albarizas,Marbella,Málaga,-4.87355462862312,36.511322376872066
Olivares,Olivares,Granada,-3.76674258177755,37.33059618139227
Castro Filabres,Castro de Filabres,Almería,-2.4404840001154198,37.18383899958873
Fuentevaqueros,Fuente Vaqueros,Granada,-3.78309204473624,37.22029352312838
Benamaurel,Benamaurel,Granada,-2.6976875685391097,37.60693962550609
Paterna del Rio,Paterna del Río,Almería,-2.9524831204876643,37.021494693506
Yegen,Yegen,Granada,-3.118797866094773,36.98138003684091
Ribera Alta,Ribera Alta,Jaén,-3.837550684200021,37.464632458120896
Cazalilla,Cazalilla,Jaén,-3.881464000160364,37.98493199958223
Antas,Antas,Almería,-1.9196746392342745,37.243688232115474
Chucena,Chucena,Huelva,-6.394144877430966,37.36180450600519
El Palo,Málaga,Málaga,-4.353956823952607,36.718257660385554
El Rancho,Morón de la Frontera,Sevilla,-5.445503124532022,37.12590541676583
Benajarafe,Benajarafe,Málaga,-4.197307151919747,36.71659406583973
Zagrilla,Zagrilla Alta,Córdoba,-4.242809999488176,37.48690000060676
Ventorros de San José,Ventorros de San José,Granada,-4.150975454310197,37.24779946844683
Istán,Istán,Málaga,-4.948689093076972,36.58342302124563
Los Pacos,Fuengirola,Málaga,-4.614284813797279,36.561495448904864
Cabezas Rubias,Cabezas Rubias,Huelva,-7.08862292116569,37.72626164447071
Santa Eufemia,Santa Eufemia,Córdoba,-4.902390097447073,38.59562859790771
Conchar (Villamena),Cónchar,Granada,-3.5894367659422164,36.966965788236735
Bentarique,Bentarique,Almería,-2.618712522657062,36.98632211018904
Posadilla,Posadilla,Córdoba,-5.277934383890169,38.19016097070516
Olula de Castro,Olula de Castro,Almería,-2.47650958625768,37.17537410977984
Lopera,Lopera,Granada,-3.2405362241464473,37.321478148480594
Estepona,Estepona,Málaga,-5.154010611586593,36.426299642310624
Los Llanos de Don Juan,Llanos de Don Juan,Córdoba,-4.414424776669784,37.406339876744774
Laroles,Laroles,Granada,-3.014580148127804,37.00826000015464
El Pozuelo,El Pozuelo,Huelva,-6.677180498959915,37.61238243759851
El Repilado,El Repilado,Huelva,-6.771546057075464,37.92783141221624
Barbate,Barbate,Cádiz,-5.923307892368283,36.18813465331978
Canena,Canena,Jaén,-3.4831626995188225,38.04801229973647
Pechina,Pechina,Almería,-2.4407067924507237,36.91554046096258
Retamar,Retamar,Almería,-2.314023462248226,36.850686844019656
El Donadio,Donadío,Jaén,-3.3650908644190607,37.92686584000466
La Calahorra,La Calahorra,Granada,-3.0621431470589915,37.17975057270314
Tímar,Tímar,Granada,-3.2108982635140992,36.94428908427318
Carataunas,Carataunas,Granada,-3.4099200002688392,36.92240000126903
Alfarnate,Alfarnate,Málaga,-4.2586810280178,36.99202412884816
Gerena,Gerena,Sevilla,-6.151462850849843,37.529873716575125
Los Molinos,Almería,Almería,-2.4377162083856496,36.844821126842454
Pinos del Valle (El Pinar),Pinos del Valle,Granada,-3.5536725319150593,36.91281191109521
La Carihuela,Torremolinos,Málaga,-4.510793432883131,36.60466935822126
Bola de Oro,Granada,Granada,-3.58570214065349,37.1605599310521
Villamanrique de la Condesa,Villamanrique de la Condesa,Sevilla,-6.307559400845764,37.24432759676413
La Huelga,La Huelga,Almería,-2.014039857308423,37.11425830729122
Almócita,Almócita,Almería,-2.790209658797028,37.001893506566006
Cerro del Águila,Sevilla,Sevilla,-5.952987654183529,37.36745450485546
Parque Nueva Granada,Granada,Granada,-3.595383782858511,37.2040876442223
La Fábrica,La Fábrica,Granada,-4.069953865118901,37.21509354922691
Puerto Santa María-Norte Pinillo Chico,El Puerto de Santa María,Cádiz,-6.216874192836506,36.61046583337054
El Burgo,El Burgo,Málaga,-4.95305704889256,36.792142837825736
Pozoblanco Pediatra Carmen Domínguez,Pozoblanco,Córdoba,-4.847806640477889,38.38485673859259
Benizalón,Benizalón,Almería,-2.2430442496668173,37.21178379416592
Aldeire,Aldeire,Granada,-3.073268259710212,37.161425981795475
Puente Mayorga,Puente Mayorga,Cádiz,-5.385663919391353,36.18187757363222
Las Viñas,Viñas de Abajo,Granada,-3.011640000310305,37.40650000098625
Escañuela,Escañuela,Jaén,-4.035159972861549,37.87922284511475
Almanjáyar,Granada,Granada,-3.6091281763946044,37.208275392335786
Guájar Alto,Guájar Alto,Granada,-3.623623892387687,36.85222014080179
Bollullos Par del Condado D. Luis Taracido,Bollullos Par del Condado,Huelva,-6.534357009620239,37.33886475073126
Salares,Salares,Málaga,-4.0242791741131425,36.85411553441629
San Agustín,San Agustín,Almería,-2.6931350768327182,36.71256153843579
Arquillos,Arquillos,Jaén,-3.426639000094726,38.17971199963827
Constantina,Constantina,Sevilla,-5.619229928824931,37.86227600557595
El Portil,La Laguna del Portil,Huelva,-7.053007596282936,37.215148556243975
Otívar,Otívar,Granada,-3.679422646735024,36.81401598056015
Bobadilla-Estación,Bobadilla-Estación,Málaga,-4.726863986747247,37.03547912088303
Alcalá la Real,Alcalá la Real,Jaén,-3.9185207578231243,37.45734695497077
Argallón,Argallón,Córdoba,-5.481462826162252,38.2010678980417
Fuente Palmera Dr. Bernabé Galán Sánchez,Fuente Palmera,Córdoba,-5.105994102166401,37.705614772718555
Alhama de Almería,Alhama de Almería,Almería,-2.568290875768858,36.95811225899639
Los Villares de Andújar,Los Villares,Jaén,-3.9856315079210174,38.02563690411604
Aljariz,Aljariz,Almería,-1.9352625692772105,37.25048543489711
El Trobal,El Trobal,Sevilla,-5.950986296965043,37.10831044138759
Los Naveros,Los Naveros,Cádiz,-5.978652325376376,36.3578696978512
Corrales,Corrales,Huelva,-6.9917316018374125,37.27290259146743
Aroche,Aroche,Huelva,-6.956079006940125,37.94167945843258
La Huertezuela,La Huertezuela,Granada,-2.8976650420533847,37.18962262829941
Gobernador,Gobernador,Granada,-3.3204340000308132,37.47729799975108
Bacares,Bacares,Almería,-2.4536499165104426,37.26144942947878
Cuenca,Cuenca,Jaén,-2.9701538881332956,37.736021836709185
La Joya-Nogales,La Joya,Málaga,-4.624743434199488,36.93072188962325
La Teja,La Teja,Granada,-2.810963876832766,37.674495283109536
Puche,Almería,Almería,-2.433468086316361,36.84843995931782
Cruz de Humilladero,Málaga,Málaga,-4.441603719387087,36.70862327365766
El Pilar,El Pilar,Almería,-2.0995617101751303,37.19054489865479
Ruescas,Ruescas,Almería,-2.2250355357467924,36.81642768873955
El Ojuelo,El Ojuelo,Jaén,-2.6999429276309,38.25775505307233
